id,name,description
0fc21cc1-33b2-45d1-abe6-3e8d34fc75d7,Skimmed milk,Milk with low fat percentage.
f1e2d3c4-1111-4222-8333-aaaaaaaaaaaa,Romaine lettuce,Crisp lettuce used for salads.
e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,Tomato,Juicy red tomato.
d3c4b5a6-3333-4444-8555-cccccccccccc,Cucumber,Fresh green cucumber.
a4b5c6d7-4444-4555-8666-dddddddddddd,Olive oil,Extra virgin olive oil.
b1000000-0000-4000-8000-000000000001,Chicken breast,Lean chicken breast.
b1000000-0000-4000-8000-000000000002,Brown rice,Whole grain rice.
b1000000-0000-4000-8000-000000000003,Lemon,Fresh lemon for brightness.
b1000000-0000-4000-8000-000000000004,Garlic,Fresh garlic cloves.
b1000000-0000-4000-8000-000000000005,Pasta,Dry pasta noodles.
b1000000-0000-4000-8000-000000000006,Zucchini,Fresh zucchini.
b1000000-0000-4000-8000-000000000007,Bell pepper,Colorful bell pepper.
b1000000-0000-4000-8000-000000000008,Parmesan,Grated parmesan cheese.
b1000000-0000-4000-8000-000000000009,Basil,Fresh basil leaves.
b1000000-0000-4000-8000-000000000010,Yogurt,Plain yogurt.
b1000000-0000-4000-8000-000000000011,Oats,Rolled oats.
b1000000-0000-4000-8000-000000000012,Mixed berries,Fresh mixed berries.
b1000000-0000-4000-8000-000000000013,Honey,Natural honey.
b2000000-0000-4000-8000-000000000001,Salmon fillet,Fresh salmon fillet.
b2000000-0000-4000-8000-000000000002,Tortilla wraps,Soft flour tortillas.
b2000000-0000-4000-8000-000000000003,Avocado,Ripe avocado.
b2000000-0000-4000-8000-000000000004,Eggs,Large eggs.
b2000000-0000-4000-8000-000000000005,Chickpeas,Cooked chickpeas.
b2000000-0000-4000-8000-000000000006,Coconut milk,Canned coconut milk.
b2000000-0000-4000-8000-000000000007,Curry paste,Red curry paste.
b2000000-0000-4000-8000-000000000008,Beef strips,Sliced beef strips.
b2000000-0000-4000-8000-000000000009,Mushrooms,Sliced mushrooms.
b2000000-0000-4000-8000-000000000010,Arborio rice,Short grain risotto rice.
b2000000-0000-4000-8000-000000000011,Potatoes,Small potatoes.
b2000000-0000-4000-8000-000000000012,Feta cheese,Crumbly feta cheese.
b2000000-0000-4000-8000-000000000013,Shrimp,Peeled shrimp.
b2000000-0000-4000-8000-000000000014,Bread slices,White bread slices.
b2000000-0000-4000-8000-000000000015,Lentils,Brown lentils.
b2000000-0000-4000-8000-000000000016,Cod fillet,Fresh cod fillet.
b2000000-0000-4000-8000-000000000017,Spinach,Fresh spinach leaves.
b2000000-0000-4000-8000-000000000018,Apple,Fresh apple.
b2000000-0000-4000-8000-000000000019,Cinnamon,Ground cinnamon.
b2000000-0000-4000-8000-000000000020,Turkey slices,Sliced turkey breast.
b2000000-0000-4000-8000-000000000021,Sweet potato,Orange sweet potato.
b2000000-0000-4000-8000-000000000022,Carrot,Fresh carrot.
b2000000-0000-4000-8000-000000000023,Vegetable broth,Light vegetable broth.
b2000000-0000-4000-8000-000000000024,Bell pepper,Red bell pepper.
