order_id,recipe_id
cb8c20e2-3a8a-46e4-ae6b-0451021a2cbf,b2c3d4e5-f6a7-8901-2345-67890abcdef0
99999999-aaaa-4bbb-8ccc-333333333333,11111111-2222-4333-8444-555555555555
1a2b3c4d-5e6f-4701-8100-000000000001,b2c3d4e5-f6a7-8901-2345-67890abcdef0
1a2b3c4d-5e6f-4701-8100-000000000001,66666666-7777-4888-8999-000000000000
1a2b3c4d-5e6f-4701-8100-000000000002,11111111-2222-4333-8444-555555555555
1a2b3c4d-5e6f-4701-8100-000000000002,66666666-7777-4888-8999-000000000000
1a2b3c4d-5e6f-4701-8100-000000000003,r1000000-0000-4000-8000-000000000001
1a2b3c4d-5e6f-4701-8100-000000000004,r1000000-0000-4000-8000-000000000002
1a2b3c4d-5e6f-4701-8100-000000000005,r1000000-0000-4000-8000-000000000003
1a2b3c4d-5e6f-4701-8100-000000000006,b2c3d4e5-f6a7-8901-2345-67890abcdef0
1a2b3c4d-5e6f-4701-8100-000000000006,r1000000-0000-4000-8000-000000000002
1a2b3c4d-5e6f-4701-8100-000000000007,11111111-2222-4333-8444-555555555555
1a2b3c4d-5e6f-4701-8100-000000000007,r1000000-0000-4000-8000-000000000001
2b2c3d4e-5e6f-4701-8100-000000000101,r1000000-0000-4000-8000-000000000004
2b2c3d4e-5e6f-4701-8100-000000000101,r1000000-0000-4000-8000-000000000010
2b2c3d4e-5e6f-4701-8100-000000000101,r1000000-0000-4000-8000-000000000012
2b2c3d4e-5e6f-4701-8100-000000000101,r1000000-0000-4000-8000-000000000018
2b2c3d4e-5e6f-4701-8100-000000000102,r1000000-0000-4000-8000-000000000005
2b2c3d4e-5e6f-4701-8100-000000000102,r1000000-0000-4000-8000-000000000006
2b2c3d4e-5e6f-4701-8100-000000000102,r1000000-0000-4000-8000-000000000011
2b2c3d4e-5e6f-4701-8100-000000000102,r1000000-0000-4000-8000-000000000015
2b2c3d4e-5e6f-4701-8100-000000000103,r1000000-0000-4000-8000-000000000007
2b2c3d4e-5e6f-4701-8100-000000000103,r1000000-0000-4000-8000-000000000008
2b2c3d4e-5e6f-4701-8100-000000000103,r1000000-0000-4000-8000-000000000013
2b2c3d4e-5e6f-4701-8100-000000000103,r1000000-0000-4000-8000-000000000014
2b2c3d4e-5e6f-4701-8100-000000000104,r1000000-0000-4000-8000-000000000009
2b2c3d4e-5e6f-4701-8100-000000000104,r1000000-0000-4000-8000-000000000016
2b2c3d4e-5e6f-4701-8100-000000000104,r1000000-0000-4000-8000-000000000017
